rule_id,style,bottleneck,guidance_title,guidance_text,literature_basis,guidance_reference
predictable_feedback,GMD,execution_path,Execution-path stabilization,"Focus first on execution efficiency inside the main execution path, including test efficiency, parallelization, flake reduction, and execution simplification.",Profile-derived plus literature-backed execution-centric guidance,"Android Developers — Build-managed devices: https://developer.android.com/studio/test/managed-devices | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching"
predictable_feedback,Community,distributed_overhead,Distributed stabilization,"Reduce variability across entry/setup and execution-path work first, then inspect the residual tail contributors.",Profile-derived distributed-overhead guidance,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners"
predictable_feedback,Third-Party,execution_path,Execution-window control,Reduce provider-side execution cost and stabilize the sustained execution path before secondary tail tuning.,Profile-derived heavy-execution guidance,Firebase — Test Lab overview: https://firebase.google.com/docs/test-lab | Firebase — Test Lab command line: https://firebase.google.com/docs/test-lab/android/command-line | Firebase — Analyze Test Lab results: https://firebase.google.com/docs/test-lab/android/analyzing-results
predictable_feedback,Custom,mixed_profile,Mixed-path stabilization,"Inspect both the bespoke execution path and the heavier completion side, then standardize the custom orchestration where feasible.",Profile-derived mixed-profile guidance,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | Tahir et al., JSS 2023 — Test flakiness’ causes, detection, impact and responses | GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching"
fast_first_signal,Community,entry_setup,Entry-path acceleration,Reduce setup/orchestration delay before invocation and stabilize early-entry work.,Profile-derived entry guidance,GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners
fast_first_signal,Custom,entry_setup,Entry-path acceleration,Reduce setup/orchestration delay before invocation and simplify early custom preparation work.,Profile-derived entry guidance,GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners
fast_first_signal,GMD,entry_setup,Fast-entry tuning,Minimize pre-invocation setup and keep the entry path lightweight and reproducible.,Profile-derived fast-entry guidance,GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners | Android Developers — Build-managed devices: https://developer.android.com/studio/test/managed-devices
fast_first_signal,Third-Party,entry_setup,Provisioning-first tuning,"Reduce entry/provisioning delay before the execution path begins, especially provider-side startup overhead.",Profile-derived heavy-entry guidance,GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners | Firebase — Test Lab overview: https://firebase.google.com/docs/test-lab | Firebase — Test Lab command line: https://firebase.google.com/docs/test-lab/android/command-line
fastest_typical_completion,Community,distributed_overhead,End-to-end speed tuning,Stabilize entry/setup variability and reduce execution-path cost; then inspect the remaining residual tail.,Profile-derived fastest-overall guidance,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners"
fastest_typical_completion,GMD,execution_path,Execution-path speedup,Improve the main execution path first because the completion profile is dominated by execution time.,Profile-derived execution-centric guidance,"Android Developers — Build-managed devices: https://developer.android.com/studio/test/managed-devices | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching"
fastest_typical_completion,Third-Party,execution_path,Provider execution reduction,Reduce provider-side execution cost and the longest sustained-execution segments first.,Profile-derived slow sustained-execution guidance,Firebase — Test Lab overview: https://firebase.google.com/docs/test-lab | Firebase — Test Lab command line: https://firebase.google.com/docs/test-lab/android/command-line | Firebase — Analyze Test Lab results: https://firebase.google.com/docs/test-lab/android/analyzing-results
fastest_typical_completion,Custom,post_execution_tail,Tail reduction,Reduce the completion-tail work first because the end-to-end profile is slowed most by the post-execution segment.,Profile-derived tail-heavy guidance,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners | GitHub Docs — Workflow syntax / jobs: https://docs.github.com/actions/using-workflows/workflow-syntax-for-github-actions"
usable_successful_outcomes,Community,reliability_outcome,Outcome reliability review,"Inspect usable-verdict and success patterns first, then check whether setup/runtime instability is degrading outcome quality.",Profile-derived outcome guidance,"Tahir et al., JSS 2023 — Test flakiness’ causes, detection, impact and responses | Pontillo et al., IST 2024 — Test Code Flakiness in Mobile Apps: The Developer’s Perspective | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
usable_successful_outcomes,Custom,reliability_outcome,Outcome reliability review,"Inspect usable-verdict and success patterns first, especially around failure-dominant custom paths and brittle bespoke orchestration.",Profile-derived outcome guidance,"Tahir et al., JSS 2023 — Test flakiness’ causes, detection, impact and responses | Pontillo et al., IST 2024 — Test Code Flakiness in Mobile Apps: The Developer’s Perspective | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
usable_successful_outcomes,GMD,reliability_outcome,Reliability preservation,Preserve the strong usable/success profile by focusing on failure prevention in the execution path and maintaining stable configuration.,Profile-derived outcome guidance,"Tahir et al., JSS 2023 — Test flakiness’ causes, detection, impact and responses | Pontillo et al., IST 2024 — Test Code Flakiness in Mobile Apps: The Developer’s Perspective | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | Android Developers — Build-managed devices: https://developer.android.com/studio/test/managed-devices"
usable_successful_outcomes,Third-Party,reliability_outcome,Outcome-quality stabilization,"Inspect usable-verdict and failure patterns first, then verify whether provider execution conditions are degrading success behavior.",Profile-derived outcome guidance,"Tahir et al., JSS 2023 — Test flakiness’ causes, detection, impact and responses | Pontillo et al., IST 2024 — Test Code Flakiness in Mobile Apps: The Developer’s Perspective | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | Firebase — Analyze Test Lab results: https://firebase.google.com/docs/test-lab/android/analyzing-results"
usable_successful_outcomes,Community,trigger_context,Trigger-aware outcome review,Check whether outcome behavior shifts by trigger context before applying broad workflow changes.,Profile-derived trigger-context guidance,"GitHub Docs — Events that trigger workflows: https://docs.github.com/actions/using-workflows/events-that-trigger-workflows | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
usable_successful_outcomes,Custom,trigger_context,Trigger-aware outcome review,Check whether outcome behavior shifts by trigger context before applying broad workflow changes.,Profile-derived trigger-context guidance,"GitHub Docs — Events that trigger workflows: https://docs.github.com/actions/using-workflows/events-that-trigger-workflows | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
usable_successful_outcomes,GMD,trigger_context,Trigger-aware outcome review,Check whether outcome behavior shifts by trigger context before applying broad workflow changes.,Profile-derived trigger-context guidance,"GitHub Docs — Events that trigger workflows: https://docs.github.com/actions/using-workflows/events-that-trigger-workflows | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
usable_successful_outcomes,Third-Party,trigger_context,Trigger-aware outcome review,Check whether outcome behavior shifts by trigger context before applying broad workflow changes.,Profile-derived trigger-context guidance,"GitHub Docs — Events that trigger workflows: https://docs.github.com/actions/using-workflows/events-that-trigger-workflows | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
overhead_led_optimization,Community,distributed_overhead,Distributed overhead reduction,"Treat the problem as distributed: inspect entry/setup, execution, and residual tail contributors together.",Profile-derived overhead guidance,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners"
overhead_led_optimization,Custom,post_execution_tail,Tail-heavy reduction,Reduce post-execution cleanup/reporting and standardize bespoke completion-tail work first.,Profile-derived overhead guidance,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners | GitHub Docs — Workflow syntax / jobs: https://docs.github.com/actions/using-workflows/workflow-syntax-for-github-actions"
overhead_led_optimization,GMD,execution_path,Execution-centric optimization,Treat the problem as primarily execution-centric and focus on the execution path itself.,Profile-derived overhead guidance,"Android Developers — Build-managed devices: https://developer.android.com/studio/test/managed-devices | Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings | GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching"
overhead_led_optimization,Third-Party,entry_setup,Entry-and-provisioning reduction,"Treat the problem as heavy-entry and provisioning-oriented first, then shorten provider-side execution cost.",Profile-derived overhead guidance,GitHub Docs — Dependency caching: https://docs.github.com/en/actions/concepts/workflows-and-actions/dependency-caching | GitHub Docs — GitHub-hosted runners: https://docs.github.com/actions/using-github-hosted-runners/about-github-hosted-runners | Firebase — Test Lab overview: https://firebase.google.com/docs/test-lab | Firebase — Test Lab command line: https://firebase.google.com/docs/test-lab/android/command-line
*,Community,*,Community default focus,Use Community's current dominant bottleneck as the first improvement focus; it often needs balancing across multiple phases.,Style default fallback,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
*,Custom,*,Custom default focus,Use Custom's current dominant bottleneck as the first improvement focus; it often needs bespoke tail reduction and workflow simplification.,Style default fallback,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
*,GMD,*,GMD default focus,Use GMD's current dominant bottleneck as the first improvement focus; it is usually execution-centric.,Style default fallback,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
*,Third-Party,*,Third-Party default focus,Use Third-Party's current dominant bottleneck as the first improvement focus; it is usually entry/provisioning and provider-execution oriented.,Style default fallback,"Parsazadeh et al., 2026 profile paper — RQ3/RQ4 operational profile and bottleneck findings"
